label,companyName,companyAddress,phoneNumber,city,
"섬유, 의류, 봉제 제조",Dang Khoa Vietnam Co Ltd,"510 Truong Chinh Street, Nam Dinh",,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조",DAUM & JUNG AN,"Km5, My Hung, My Loc, Nam Dinh",+842283814222,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조",DONG YANG ST VINA,"M12 Area, Hoa Xa I.Z, Nam Dinh",+842283676955,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조",ENTER.B NAM DINH,"Thuong Dong Village, Hien Khanh, Vu Ban, Nam Dinh",,NAM DINH,★★★☆☆
"섬유, 의류, 봉제 제조",GARNET NAM DINH,"Lot C6-5, Hoa Xa I.Z, Nam Dinh",+842283844663,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조","JF GLOBAL CO.,LTD","3F, 121 Dong A, Hoa Vuong, Loc Vuong, Nam Dinh",+84985099207,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조",SHIN MYUNG FIRST,"Group 3, Trung Dong, Trung Ninh, Nam Dinh",+842283939888,NAM DINH,★★★☆☆
"섬유, 의류, 봉제 제조",TBO VINA,"Km 12,Road 12, Minh Tan, Vu Ban, Nam Dinh",+842283996581,NAM DINH,★★☆☆☆
"섬유, 의류, 봉제 제조","VIET HAN B & H CO.,LTD","3F, 121 Dong A, Hoa Vuong, Loc Vuong, Nam Dinh",+84985099207,NAM DINH,★★★☆☆
"섬유, 의류, 봉제 제조","VINA KI GLOBAL Co.,Ltd","No. 1 Giai Phong, Truong Thi, Nam Dinh",+842283671308,NAM DINH,★★★★☆
"섬유, 의류, 봉제 제조","YOUNGONE NAM DINH CO., LTD","Lot O,P,Q,R N6 Road, Hoa Xa IP, My Xa Commune, Nam Dinh",+842283670570,NAM DINH,★★★☆☆
"섬유, 의류, 봉제 제조",GLOBAL SOURCING INTERNATIONAL ( HÀN QUỐC ),"CCN Nghi Phú, TP Vinh",+842383830117,NGHE AN,★★☆☆☆
"섬유, 의류, 봉제 제조","HAIVINA  Co.,Ltd","Nam Giang Industrial Zone, Nam Giang Commune, Nam Dan District Nghe An Privince",+842383826417,NGHE AN,★★☆☆☆
"섬유, 의류, 봉제 제조",HI-TEX,"Xa Nghia My I.C, Thai Hoa, Nghe An",,NGHE AN,★★☆☆☆
"섬유, 의류, 봉제 제조","NAM SUNG VINA CO.,LTD","Thap-Hong-Ky I.C, Dien Hong, Dien Chau, Nghe An",+842383621560,NGHE AN,★★★☆☆
"섬유, 의류, 봉제 제조",PREX VINH COMPANY LIMITED,"Cụm công nghiệp xã Lạc Sơn, Huyện Đô Lương, Tỉnh Nghệ An",+84903272555,NGHE AN,★★☆☆☆
"섬유, 의류, 봉제 제조","Sangwoo Vietnam Co., Ltd","Road 2, VSIP, Hung Tay, Hung Nguyen, Nghe An",+842383209238,NGHE AN,★★☆☆☆
"섬유, 의류, 봉제 제조",WOOIN INDUSTRIES LTD.,"Cụm Công Nghiệp Tháp- Hồng- Kỷ, Xã Diễn Hồng, Huyện Diễn Châu, Tỉnh Nghệ An, Việt Nam Diễn Châu, Nghệ An, VN",+842383621560,NGHE AN,★★★☆☆
"섬유, 의류, 봉제 제조","WOOIN VINA CO.,LTD","Thap Hong Ky IC, Dien Hong, Dien Chau, Nghe An",+842383621560,NGHE AN,★★☆☆☆
